121	-2.05971	-7.78798	0.23	-0.53
122	-2.19804	-6.69159	0.1	0.47
123	-2.34106	-5.88519	-0.04	1.24
124	-2.48877	-5.32316	-0.19	1.81
125	-2.64119	-4.97392	-0.33	2.2
126	-2.79833	-4.8157	-0.49	2.42
127	-2.96019	-4.83338	-0.65	2.5
128	-3.12679	-5.0159	-0.81	2.44
129	-3.29816	-5.35373	-0.98	2.24
130	-3.47432	-5.83519	-1.15	1.92
131	-3.6553	-6.44056	-1.33	1.47
132	-3.84114	-7.13178	-1.51	0.91
133	-4.03191	-7.83689	-1.7	0.25
134	-4.22766	-8.43476	-1.89	-0.48
135	-4.42848	-8.7645	-2.09	-1.23
136	-4.63445	-8.69216	-2.29	-1.9
137	-4.84568	-8.20361	-2.5	-2.37
138	-5.06231	-7.41354	-2.71	-2.53
139	-5.28448	-6.47794	-2.93	-2.33
140	-5.51237	-5.51856	-3.16	-1.82
141	-5.74616	-4.60636	-3.39	-1.12
142	-5.98607	-3.77494	-3.63	-0.34
143	-6.23235	-3.03642	-3.87	0.44
144	-6.48527	-2.39211	-4.13	1.17
145	-6.74515	-1.83834	-4.39	1.83
146	-7.01232	-1.36951	-4.65	2.41
147	-7.28716	-0.97954	-4.93	2.91
148	-7.57011	-0.66249	-5.21	3.33
149	-7.86162	-0.41292	-5.5	3.67
150	-8.16222	-0.22594	-5.8	3.95
151	-8.47248	-0.09722	-6.11	4.16
152	-8.79306	-0.023	-6.44	4.31
153	-9.12466	0.00E+00	-6.77	4.4
154	-9.46809	-0.02544	-7.11	4.44
155	-9.82426	-0.09696	-7.47	4.43
156	-10.19419	-0.21261	-7.84	4.37
157	-10.57901	-0.37084	-8.23	4.26
158	-10.98004	-0.57049	-8.63	4.11
159	-11.39877	-0.81077	-9.05	3.91
160	-11.83691	-1.09131	-9.49	3.67
161	-12.29647	-1.41217	-9.95	3.39
162	-12.77974	-1.77387	-10.43	3.06
163	-13.28945	-2.17748	-10.94	2.69
164	-13.82882	-2.62466	-11.48	2.27
165	-14.40171	-3.11786	-12.05	1.8
166	-15.01277	-3.66041	-12.66	1.29
167	-15.6677	-4.25678	-13.32	0.71
168	-16.37362	-4.91294	-14.03	0.08
169	-17.13946	-5.63679	-14.79	-0.63
170	-17.97676	-6.4389	-15.63	-1.41
171	-18.90074	-7.33361	-16.55	-2.29
172	-19.93201	-8.34072	-17.58	-3.28
173	-21.09948	-9.48843	-18.75	-4.42
174	-22.44553	-10.81846	-20.09	-5.74
175	-24.03592	-12.39595	-21.68	-7.3
176	-25.98088	-14.33055	-23.62	-9.23
177	-28.48722	-16.8284	-26.13	-11.72
178	-32.01991	-20.35328	-29.65	-15.23
179	-38.06721	-26.38876	-35.67	-21.25
180	-60	-60	-999.99	-999.99
181	-37.96721	-26.32443	-35.67	-21.25
182	-31.97068	-20.32156	-29.65	-15.23
183	-28.45526	-16.80774	-26.13	-11.72
184	-25.9578	-14.31557	-23.62	-9.23
185	-24.01835	-12.38449	-21.68	-7.3
186	-22.43179	-10.80943	-20.09	-5.74
187	-21.08858	-9.48122	-18.75	-4.42
188	-19.92334	-8.33493	-17.58	-3.28
189	-18.89388	-7.32897	-16.55	-2.29
190	-17.9714	-6.43523	-15.63	-1.41
191	-17.13536	-5.63395	-14.79	-0.63
192	-16.37061	-4.91082	-14.03	0.08
193	-15.66563	-4.25529	-13.32	0.71
194	-15.01149	-3.65948	-12.66	1.29
195	-14.40112	-3.11744	-12.05	1.8
196	-13.82883	-2.62469	-11.48	2.27
197	-13.28996	-2.17791	-10.94	2.69
198	-12.78066	-1.77467	-10.43	3.06
199	-12.29772	-1.4133	-9.95	3.39
200	-11.83843	-1.09274	-9.49	3.67
201	-11.40047	-0.81246	-9.05	3.91
202	-10.98187	-0.57241	-8.63	4.11
203	-10.5809	-0.37297	-8.23	4.26
204	-10.19608	-0.21492	-7.84	4.37
205	-9.82611	-0.09942	-7.47	4.43
206	-9.46983	-0.02803	-7.11	4.44
207	-9.12624	-0.0027	-6.77	4.4
208	-8.79444	-0.02577	-6.44	4.31
209	-8.47363	-0.10005	-6.11	4.16
210	-8.16309	-0.22879	-5.8	3.95
211	-7.86219	-0.41578	-5.5	3.67
212	-7.57036	-0.66533	-5.21	3.33
213	-7.28707	-0.98233	-4.93	2.91
214	-7.01188	-1.37224	-4.65	2.41
215	-6.74435	-1.84097	-4.39	1.83
216	-6.48411	-2.39462	-4.13	1.17
217	-6.23084	-3.0388	-3.87	0.44
218	-5.98423	-3.77715	-3.63	-0.34
219	-5.74401	-4.60836	-3.39	-1.12
220	-5.50993	-5.52029	-3.16	-1.82
221	-5.2818	-6.47931	-2.93	-2.33
222	-5.05942	-7.41438	-2.71	-2.53
223	-4.84262	-8.20372	-2.5	-2.37
224	-4.63127	-8.69137	-2.29	-1.9
225	-4.42524	-8.7628	-2.09	-1.23
226	-4.22442	-8.43236	-1.89	-0.48
227	-4.02872	-7.83408	-1.7	0.25
228	-3.83807	-7.12879	-1.51	0.91
229	-3.6524	-6.43755	-1.33	1.47
230	-3.47167	-5.83226	-1.15	1.92
231	-3.29582	-5.35096	-0.98	2.24
232	-3.12482	-5.01335	-0.81	2.44
233	-2.95864	-4.83112	-0.65	2.5
234	-2.79725	-4.81381	-0.49	2.42
235	-2.64065	-4.97247	-0.33	2.2
236	-2.4888	-5.32226	-0.19	1.81
237	-2.34169	-5.88497	-0.04	1.24
238	-2.19931	-6.6922	0.1	0.47
239	-2.06164	-7.78962	0.23	-0.53
240	-1.92867	-9.24133	0.36	-1.82
241	-1.80037	-11.12519	0.49	-3.44
242	-1.67673	-13.46112	0.61	-5.45
243	-1.55773	-15.79109	0.73	-7.78
244	-1.44335	-16.32407	0.84	-9.77
245	-1.33357	-14.36719	0.95	-9.87
246	-1.22835	-11.86876	1.06	-8.1
247	-1.12767	-9.75542	1.16	-6
248	-1.03151	-8.10964	1.25	-4.24
249	-0.93984	-6.86293	1.35	-2.89
250	-0.85263	-5.94837	1.43	-1.91
251	-0.76985	-5.31881	1.52	-1.25
252	-0.69148	-4.94426	1.6	-0.87
253	-0.61748	-4.80788	1.67	-0.77
254	-0.54784	-4.90331	1.74	-0.92
255	-0.48252	-5.23319	1.81	-1.34
256	-0.42151	-5.80852	1.87	-2.03
257	-0.36478	-6.64798	1.93	-3.01
258	-0.31231	-7.77456	1.98	-4.28
259	-0.26409	-9.201	2.03	-5.74
260	-0.2201	-10.87578	2.07	-7.07
261	-0.18032	-12.52183	2.11	-7.56
262	-0.14475	-13.42062	2.15	-6.78
263	-0.11338	-12.93221	2.18	-5.25
264	-0.08619	-11.51306	2.21	-3.63
265	-0.06319	-9.95784	2.23	-2.22
266	-0.04435	-8.62875	2.25	-1.1
267	-0.0297	-7.61036	2.27	-0.25
268	-0.01921	-6.90121	2.28	0.34
269	-0.01289	-6.48394	2.28	0.69
270	-0.01074	-6.34503	2.29	0.8
271	-0.01276	-6.47966	2.28	0.69
272	-0.01895	-6.89259	2.28	0.34
273	-0.02932	-7.5974	2.27	-0.25
274	-0.04386	-8.61172	2.25	-1.1
275	-0.06259	-9.9381	2.23	-2.22
276	-0.08551	-11.49528	2.21	-3.63
277	-0.11262	-12.92793	2.18	-5.25
278	-0.14394	-13.44223	2.15	-6.78
279	-0.17947	-12.56083	2.11	-7.56
280	-0.21923	-10.91498	2.07	-7.07
281	-0.26323	-9.23349	2.03	-5.74
282	-0.31147	-7.79964	1.98	-4.28
283	-0.36399	-6.66648	1.93	-3.01
284	-0.42078	-5.82136	1.87	-2.03
285	-0.48188	-5.24107	1.81	-1.34
286	-0.5473	-4.90668	1.74	-0.92
287	-0.61706	-4.80696	1.67	-0.77
288	-0.69119	-4.93906	1.6	-0.87
289	-0.76971	-5.30913	1.52	-1.25
290	-0.85264	-5.93372	1.43	-1.91
291	-0.94	-6.84242	1.35	-2.89
292	-1.03183	-8.08181	1.25	-4.24
293	-1.12814	-9.71797	1.16	-6
294	-1.22897	-11.81873	1.06	-8.1
295	-1.33433	-14.30533	0.95	-9.87
296	-1.44424	-16.27691	0.84	-9.77
297	-1.55873	-15.79601	0.73	-7.78
298	-1.67782	-13.49015	0.61	-5.45
299	-1.80152	-11.15517	0.49	-3.44
300	-1.92986	-9.26695	0.36	-1.82
301	-2.06285	-7.81037	0.23	-0.53
302	-2.20051	-6.70846	0.1	0.47
303	-2.34285	-5.89712	-0.04	1.24
304	-2.48989	-5.33056	-0.19	1.81
305	-2.64165	-4.97702	-0.33	2.2
306	-2.79813	-4.81454	-0.49	2.42
307	-2.95937	-4.82786	-0.65	2.5
308	-3.12539	-5.0058	-0.81	2.44
309	-3.29622	-5.33869	-0.98	2.24
310	-3.47188	-5.81488	-1.15	1.92
311	-3.65243	-6.41479	-1.33	1.47
312	-3.8379	-7.10102	-1.51	0.91
313	-4.02837	-7.803	-1.7	0.25
314	-4.22389	-8.40205	-1.89	-0.48
315	-4.42456	-8.73971	-2.09	-1.23
316	-4.63047	-8.68169	-2.29	-1.9
317	-4.84174	-8.20957	-2.5	-2.37
318	-5.05849	-7.43327	-2.71	-2.53
319	-5.28088	-6.50693	-2.93	-2.33
320	-5.50907	-5.55283	-3.16	-1.82
321	-5.74326	-4.64316	-3.39	-1.12
322	-5.98366	-3.81257	-3.63	-0.34
323	-6.23052	-3.07387	-3.87	0.44
324	-6.48411	-2.42877	-4.13	1.17
325	-6.74473	-1.87388	-4.39	1.83
326	-7.01272	-1.40373	-4.65	2.41
327	-7.28846	-1.01232	-4.93	2.91
328	-7.57235	-0.69379	-5.21	3.33
